fips_code,age_group,population
1057,12-15,857
1057,16-17,410
1057,18-24,1308
1057,25-39,2713
1057,40-49,2102
1057,50-64,3453
1057,65-74,2002
1057,75-99,1436
1059,0-4,2219
1059,5-11,2876
1059,12-15,1885
1059,16-17,905
1059,18-24,2796
1059,25-39,5389
1059,40-49,4224
1059,50-64,5869
1059,65-74,3044
1059,75-99,2260
1061,0-4,1440
1061,5-11,2364
1061,12-15,1320
1061,16-17,694
1061,18-24,1939
1061,25-39,4447
1061,40-49,3084
1061,50-64,5854
1061,65-74,2960
1061,75-99,2315
1063,0-4,578
1063,5-11,725
1063,12-15,361
1063,16-17,220
1063,18-24,647
1063,25-39,1533
1063,40-49,653
1063,50-64,1834
1063,65-74,988
1063,75-99,785
1065,0-4,984
1065,5-11,1284
1065,12-15,780
1065,16-17,406
1065,18-24,1434
1065,25-39,2476
1065,40-49,1516
1065,50-64,3152
1065,65-74,1609
1065,75-99,1168
1067,0-4,889
1067,5-11,1353
1067,12-15,918
1067,16-17,436
1067,18-24,1369
1067,25-39,2757
1067,40-49,2099
1067,50-64,3527
1067,65-74,2292
1067,75-99,1493
1069,0-4,6401
1069,5-11,9313
1069,12-15,5743
1069,16-17,2897
1069,18-24,8150
1069,25-39,19698
1069,40-49,13541
1069,50-64,20908
1069,65-74,10556
1069,75-99,7496
1071,0-4,2756
1071,5-11,4371
1071,12-15,2503
1071,16-17,1351
1071,18-24,3871
1071,25-39,8917
1071,40-49,6744
1071,50-64,11225
1071,65-74,6019
1071,75-99,4094
1073,0-4,42520
1073,5-11,58695
1073,12-15,33378
1073,16-17,16585
1073,18-24,58760
1073,25-39,139143
1073,40-49,80221
1073,50-64,128594
1073,65-74,59561
1073,75-99,42224
1075,0-4,722
1075,5-11,1194
1075,12-15,771
1075,16-17,363
1075,18-24,998
1075,25-39,2027
1075,40-49,1838
1075,50-64,2989
1075,65-74,1618
1075,75-99,1365
1077,0-4,4785
1077,5-11,7097
1077,12-15,4226
1077,16-17,2201
1077,18-24,10641
1077,25-39,16355
1077,40-49,10465
1077,50-64,18558
1077,65-74,10458
1077,75-99,7770
1079,0-4,1779
1079,5-11,2842
1079,12-15,1763
1079,16-17,799
1079,18-24,2561
1079,25-39,5970
1079,40-49,4007
1079,50-64,7339
1079,65-74,3665
1079,75-99,2333
1081,0-4,9527
1081,5-11,13347
1081,12-15,7736
1081,16-17,3777
1081,18-24,29709
1081,25-39,33254
1081,40-49,18868
1081,50-64,26237
1081,65-74,11670
1081,75-99,7026
1083,0-4,5217
1083,5-11,8301
1083,12-15,5319
1083,16-17,2746
1083,18-24,7202
1083,25-39,18946
1083,40-49,13347
1083,50-64,19321
1083,65-74,8743
1083,75-99,5585
1085,0-4,613
1085,5-11,848
1085,12-15,531
1085,16-17,279
1085,18-24,746
1085,25-39,1810
1085,40-49,1178
1085,50-64,2218
1085,65-74,1057
1085,75-99,799
1087,0-4,834
1087,5-11,1318
1087,12-15,702
1087,16-17,393
1087,18-24,3427
1087,25-39,2896
1087,40-49,1796
1087,50-64,3727
1087,65-74,2184
1087,75-99,1430
1089,0-4,21250
1089,5-11,30835
1089,12-15,18226
1089,16-17,9376
1089,18-24,34829
1089,25-39,73370
1089,40-49,44500
1089,50-64,76739
1089,65-74,30731
1089,75-99,22420
1091,0-4,969
1091,5-11,1920
1091,12-15,994
1091,16-17,521
1091,18-24,1826
1091,25-39,3078
1091,40-49,2312
1091,50-64,3973
1091,65-74,2079
1091,75-99,1650
1093,0-4,1552
1093,5-11,2390
1093,12-15,1544
1093,16-17,787
1093,18-24,2320
1093,25-39,4929
1093,40-49,3707
1093,50-64,6348
1093,65-74,3480
1093,75-99,2808
1095,0-4,6615
1095,5-11,9025
1095,12-15,5566
1095,16-17,2681
1095,18-24,7801
1095,25-39,17359
1095,40-49,11957
1095,50-64,18546
1095,65-74,9426
1095,75-99,6667
1097,0-4,27202
1097,5-11,37213
1097,12-15,22235
1097,16-17,11161
1097,18-24,37465
1097,25-39,81977
1097,40-49,50009
1097,50-64,81513
1097,65-74,39312
1097,75-99,26027
1099,0-4,1135
1099,5-11,1901
1099,12-15,1108
1099,16-17,605
1099,18-24,1804
1099,25-39,3406
1099,40-49,2636
1099,50-64,4576
1099,65-74,2325
1099,75-99,1775
1101,0-4,15346
1101,5-11,20759
1101,12-15,11506
1101,16-17,5829
1101,18-24,22931
1101,25-39,46435
1101,40-49,28507
1101,50-64,42521
1101,65-74,19379
1101,75-99,13728
1103,0-4,7181
1103,5-11,10991
1103,12-15,5908
1103,16-17,3287
1103,18-24,9368
1103,25-39,21889
1103,40-49,15486
1103,50-64,24691
1103,65-74,11879
1103,75-99,8533
1105,0-4,484
1105,5-11,560
1105,12-15,700
1105,16-17,263
1105,18-24,1403
1105,25-39,1819
1105,40-49,693
1105,50-64,1599
1105,65-74,1171
1105,75-99,601
1107,0-4,1057
1107,5-11,1519
1107,12-15,953
1107,16-17,501
1107,18-24,1717
1107,25-39,4036
1107,40-49,2383
1107,50-64,4337
1107,65-74,2125
1107,75-99,1614
1109,0-4,1826
1109,5-11,2641
1109,12-15,1323
1109,16-17,681
1109,18-24,7565
1109,25-39,5716
1109,40-49,3151
1109,50-64,5485
1109,65-74,2846
1109,75-99,2100
1111,0-4,1317
1111,5-11,1907
1111,12-15,1090
1111,16-17,582
1111,18-24,1975
1111,25-39,3540
1111,40-49,2808
1111,50-64,4806
1111,65-74,2717
1111,75-99,1905
1113,0-4,4158
1113,5-11,5744
1113,12-15,2805
1113,16-17,1462
1113,18-24,4863
1113,25-39,12341
1113,40-49,7219
1113,50-64,11331
1113,65-74,4852
1113,75-99,3177
1115,0-4,5171
1115,5-11,7900
1115,12-15,4688
1115,16-17,2282
1115,18-24,6524
1115,25-39,16990
1115,40-49,12180
1115,50-64,17937
1115,65-74,8751
1115,75-99,5566
1117,0-4,12441
1117,5-11,19889
1117,12-15,12101
1117,16-17,6194
1117,18-24,17380
1117,25-39,40560
1117,40-49,30987
1117,50-64,42164
1117,65-74,19696
1117,75-99,12020
1119,0-4,715
1119,5-11,979
1119,12-15,486
1119,16-17,291
1119,18-24,2239
1119,25-39,2167
1119,40-49,1238
1119,50-64,2449
1119,65-74,1226
1119,75-99,1008
1121,0-4,4266
1121,5-11,6875
1121,12-15,3970
1121,16-17,2146
1121,18-24,7137
1121,25-39,14515
1121,40-49,10650
1121,50-64,16776
1121,65-74,8466
1121,75-99,5586
1123,0-4,2257
1123,5-11,3512
1123,12-15,1714
1123,16-17,987
1123,18-24,3405
1123,25-39,6257
1123,40-49,4799
1123,50-64,9106
1123,65-74,5111
1123,75-99,3394
1125,0-4,12402
1125,5-11,16965
1125,12-15,9421
1125,16-17,4830
1125,18-24,34631
1125,25-39,43525
1125,40-49,23458
1125,50-64,35400
1125,65-74,16210
1125,75-99,10463
1127,0-4,3923
1127,5-11,5503
1127,12-15,3144
1127,16-17,1686
1127,18-24,5072
1127,25-39,11462
1127,40-49,7674
1127,50-64,13455
1127,65-74,7200
1127,75-99,4991
1129,0-4,801
1129,5-11,1308
1129,12-15,1023
1129,16-17,657
1129,18-24,1407
1129,25-39,2417
1129,40-49,2070
1129,50-64,3812
1129,65-74,1881
1129,75-99,1166
1131,0-4,671
1131,5-11,847
1131,12-15,721
1131,16-17,337
1131,18-24,990
1131,25-39,1704
1131,40-49,1288
1131,50-64,2096
1131,65-74,1192
1131,75-99,834
1133,0-4,1315
1133,5-11,1743
1133,12-15,1268
1133,16-17,601
1133,18-24,1702
1133,25-39,3985
1133,40-49,2791
1133,50-64,5305
1133,65-74,2984
1133,75-99,2091
2013,0-4,109
2013,5-11,188
2013,12-15,126
2013,16-17,61
2013,18-24,285
2013,25-39,784
2013,40-49,598
2013,50-64,916
2013,65-74,208
2013,75-99,110
2016,0-4,189
2016,5-11,498
2016,12-15,218
2016,16-17,77
2016,18-24,589
2016,25-39,1420
2016,40-49,919
2016,50-64,1441
2016,65-74,257
2016,75-99,90
2020,0-4,21197
2020,5-11,28163
2020,12-15,14888
2020,16-17,7628
2020,18-24,29785
2020,25-39,71984
2020,40-49,35050
2020,50-64,53963
2020,65-74,20568
2020,75-99,10305
2050,0-4,1835
2050,5-11,2481
2050,12-15,1410
2050,16-17,669
2050,18-24,1939
2050,25-39,3939
2050,40-49,1780
2050,50-64,2781
2050,65-74,884
2050,75-99,417
2060,0-4,48
2060,5-11,64
2060,12-15,41
2060,16-17,27
2060,18-24,60
2060,25-39,158
2060,40-49,121
2060,50-64,269
2060,65-74,53
2060,75-99,34
2068,0-4,64
2068,5-11,81
2068,12-15,79
2068,16-17,37
2068,18-24,358
2068,25-39,487
2068,40-49,282
2068,50-64,649
2068,65-74,145
2068,75-99,64
2070,0-4,469
2070,5-11,582
2070,12-15,334
2070,16-17,159
2070,18-24,522
2070,25-39,1129
2070,40-49,409
2070,50-64,858
2070,65-74,333
2070,75-99,166
2090,0-4,7808
